CEvent,Class,Class,true
CMutex,Class,Class,true
EventArgs,Class,Class,false
#Analog_Serial_Expand,Keyword,Declaration,true
#Begin_Parameter_Properties,Keyword,Declaration,false
#Begin_Prop_Full_Description,Keyword,Declaration,false
#Begin_Prop_Notes,Keyword,Declaration,false
#Category,Keyword,Declaration,true
#Crestron_Library,Keyword,Declaration,true
#Crestron_SimplSharp_Library,Keyword,Declaration,true
#Default_NonVolatile,Keyword,Declaration,true
#Default_Volatile,Keyword,Declaration,true
#Define_Constant,Keyword,Declaration,true
#Digital_Expand,Keyword,Declaration,true
#Enable_Dynamic,Keyword,Declaration,true
#Enable_Stack_Checking,Keyword,Declaration,true
#Enable_Trace,Keyword,Declaration,true
#Encoding_Ascii,Keyword,Declaration,true
#Encoding_Inherit_From_Parent,Keyword,Declaration,true
#Encoding_Inherit_From_Program,Keyword,Declaration,true
#Encoding_Utf16,Keyword,Declaration,true
#End_Prop_Full_Description,Keyword,Declaration,false
#End_Prop_Notes,Keyword,Declaration,false
#Help,Keyword,Declaration,true
#Help_Begin,Keyword,Declaration,false
#Help_End,Keyword,Declaration,false
#Hint,Keyword,Declaration,true
#If_Series4,Keyword,Declaration,true
#IncludePath,Keyword,Declaration,true
#Large_Stack,Keyword,Declaration,true
#Max_Internal_Buffer_Size,Keyword,Declaration,true
#Output_Shift,Keyword,Declaration,true
#Print_To_Trace,Keyword,Declaration,true
#PropBounds,Keyword,Declaration,false
#PropDefaultUnits,Keyword,Declaration,false
#PropDefaultValue,Keyword,Declaration,false
#PropDefaultValue,Keyword,Declaration,false
#PropValidUnits,Keyword,Declaration,false
#Symbol_Name,Keyword,Declaration,true
#User_Library,Keyword,Declaration,true
#User_SimplSharp_Library,Keyword,Declaration,true
Change,Keyword,Declaration,true
Event,Keyword,Declaration,true
Push,Keyword,Declaration,true
Release,Keyword,Declaration,true
SocketConnect,Keyword,Declaration,true
SocketDisconnect,Keyword,Declaration,false
SocketReceive,Keyword,Declaration,true
SocketStatus,Keyword,Declaration,true
Structure,Keyword,Declaration,false
RegisterDelegate,Keyword,Declaration,false
UnregisterDelegate,Keyword,Declaration,false
RegisterEvent,Keyword,Declaration,false
UnregisterEvent,Keyword,Declaration,false
_Oem_Break,Variable,Digital_Input,true
_Oem_Cd,Variable,Digital_Input,true
_Oem_Cts,Variable,Digital_Input,true
_Oem_Dtr,Variable,Digital_Input,true
_Oem_Long_Break,Variable,Digital_Input,true
_Oem_Max_String,Variable,Digital_Input,true
_Oem_Pacing,Variable,Digital_Input,true
_Oem_Rts,Variable,Digital_Input,true
_Oem_Str_In,Variable,Digital_Input,true
_Oem_Str_Out,Variable,Digital_Input,true
ENCODING_ASCII,Constant,Encoding_Type,false
ENCODING_UTF16,Constant,Encoding_Type,false
ENCODING_INHERIT,Constant,Encoding_Type,false
Function,Keyword,Function Declaration,false
Integer_Function,Keyword,Function Declaration,false
Long_Integer_Function,Keyword,Function Declaration,false
Signed_Integer_Function,Keyword,Function Declaration,false
Signed_Long_Integer_Function,Keyword,Function Declaration,false
SimplSharpString_Function,Keyword,Function Declaration,false
String_Function,Keyword,Function Declaration,false
#EndIf,Keyword,Global Declaration,false
#If_Defined,Keyword,Global Declaration,false
#If_Not_Defined,Keyword,Global Declaration,false
#If_Series2,Keyword,Global Declaration,true
#If_Series3,Keyword,Global Declaration,true
Analog_Input,Keyword,Input Declaration,true
Buffer_Input,Keyword,Input Declaration,true
Digital_Input,Keyword,Input Declaration,true
String_Input,Keyword,Input Declaration,true
_O_APPEND,Constant,Integer,false
_O_BINARY,Constant,Integer,false
_O_CREAT,Constant,Integer,false
_O_EXCL,Constant,Integer,false
_O_RDONLY,Constant,Integer,false
_O_RDWR,Constant,Integer,false
_O_TEXT,Constant,Integer,false
_O_TRUNC,Constant,Integer,false
_O_WRONLY,Constant,Integer,false
ADirEnt,Constant,Integer,false
AHidden,Constant,Integer,false
Archive,Constant,Integer,false
ARdOnly,Constant,Integer,false
ASystem,Constant,Integer,false
AVolume,Constant,Integer,false
Off,Constant,Integer,false
On,Constant,Integer,false
SEEK_CUR,Constant,Integer,false
SEEK_END,Constant,Integer,false
SEEK_SET,Constant,Integer,false
Abs,Function,Integer,true
AToI,Function,Integer,true
Bit,Function,Integer,true
Byte,Function,Integer,true
CheckForDisk,Function,Integer,true
CheckForNvramDisk,Function,Integer,true
FileGetDateNum,Function,Integer,true
FileGetDayOfWeekNum,Function,Integer,true
FileGetHourNum,Function,Integer,true
FileGetMinutesNum,Function,Integer,true
FileGetMonthNum,Function,Integer,true
Find,Function,Integer,true
FindNoCase,Function,Integer,true
GetC,Function,Integer,true
GetCip,Function,Integer,true
GetCresnet,Function,Integer,true
GetDateNum,Function,Integer,true
GetDayOfWeekNum,Function,Integer,true
GetDst,Function,Integer,true
GetHourNum,Function,Integer,true
GetHSeconds,Function,Integer,true
GetLastModifiedArrayIndex,Function,Integer,true
GetMinutesNum,Function,Integer,true
GetMonthNum,Function,Integer,true
GetNumArrayCols,Function,Integer,true
GetNumArrayRows,Function,Integer,true
GetNumStructureArrayCols,Function,Integer,true
GetSecondsNum,Function,Integer,true
GetSlot,Function,Integer,true
GetTicks,Function,Integer,true
GetYearNum,Function,Integer,true
HexToI,Function,Integer,true
High,Function,Integer,true
HighWord,Function,Integer,true
IsDirectory,Function,Integer,true
IsHidden,Function,Integer,true
IsNull,Function,Integer,true
IsReadOnly,Function,Integer,true
IsSystem,Function,Integer,true
IsVolume,Function,Integer,true
Len,Function,Integer,true
Low,Function,Integer,true
